Strain,Pop
RS,1
San_Diego_1.1,1
Washington_1,2
WA_202,2
WA_205,2
WA_211,2
WA_212,2
SJV_1,1
SJV_2,1
SJV_11,1
Guerrero_1,1
Michoacan_2,1
Coahuila_1,1
B0727_Argentina,1
SJV_3,1
SJV_4,1
SJV_5,1
SJV_6,1
SJV_7,1
SJV_8,1
SJV_9,1
SJV_10,1
CA14,1
CA1,1
CA20,1
CA22,1
CA26,1
CA28,1
CA2,1
CA4,1
CA6,1
CA7,1
GT-100,1
GT-109,1
GT-117,1
GT-118,1
GT-121,1
GT-122,1
GT-123,1
GT-127,1
GT-129,1
GT-133,1
GT-146,1
GT-147,1
GT-156,1
CA27,1
GT104,1
GT105,1
GT108,1
GT111,1
GT114,1
GT116,1
GT125,1
GT126,1
GT128,1
GT132,1
GT140,1
CA15,1
GT119,1
GT163,1
CA17,1
CA23,1
CA24,1
CA25,1
CA29,1
CA30,1
CA3,1
CA5,1
CA8,1
CA9,1
GT107,3
GT110,3
GT113,1
GT169,1
COCSP2006,1
COCSP3505,1
8945,1
GT167,2
h5384,1
M204,1
SDVA15,1
SDVA17,1
SDVA1,1
SDVA2,1
SDVA36,1
SDVA38,1
SDVA39,1
SDVA3,1
SDVA41,1
SDVA44,1
SDVA48,1
SDVA4,1
SDVA5,1
SDVA6,1
VFC0432008,1
VFC0522267,1
NACVFR_2395,1
NACVFR_3377,1
NACVFR_474,1
NACVFR_3475,1
NACVFR_3698,1
NACVFR_3703,1
Tucson_2,3
Phoenix_3,3
730332_Guatenala,3
Tucson_9,3
Coahuila_2,3
JTORRES,3
B11034,2
B11019,2
B11035,1
B11080,1
B11198,1
B11517,1
B11518,2
B11587,1
B11863,1
B11873,1
B12398,2
B12495,1
B12496,1
B13956,2
A391,2
A432,2
A502-1,2
A502-2,2
B11057,1
B12219,1
B12220,1
B12526,1
B14131,1
B14132,1
B14135,1
B14286,1
B14288,1
B14291,3
B14298,1
B15142,1
B15145,1
B15146,1
B15257,1
B15317,2
B15368,1
B16338,1
B16339,1
B16364,1
B16536,1
B16692,2
B17554,2
B17567,1
B17635,1
B11002,1
B11343,1
